ANPS8005	(3G)	NERO/ PSYCH PHARM	702758	OT	TBA	WB	Reinstatler, K.	05/09/2016 - 08/06/2016
ANPS8007	(2G)	SYSTEMS, IND/GROUP	702759	OT	TBA	WB	Mcintosh, D.	05/09/2016 - 08/06/2016
ANPS8008	(2G)	ROLE PMH NP	702760	OT	TBA	WB	White-heisel, R.	05/09/2016 - 08/06/2016
ANPS8013	(3G)	PSYCH MANAGE ADULTS	702761	OT	TBA	WB	Staff	05/09/2016 - 08/06/2016
ANPS8014	(3G)	PSYCH MANAGE CHILD	702762	OT	TBA	WB	Staff	05/09/2016 - 08/06/2016
ANPS8028	(1G)	SUP CLINICAL/LIFE I	702764	OT	TBA	WB	Brammer, S.	05/09/2016 - 08/06/2016
ANPS8030	(1G)	SUP CLINICAL LIFEII	702765	OT	TBA	WB	Weinstock, K.	05/09/2016 - 08/06/2016
ANPS8032	(2G)	SUP CLINICAL LIFE 3	702766	OT	TBA	WB	Staff	05/09/2016 - 08/06/2016
ANTH1001	(3)	CULTURAL ANTH	700320	LE	TBA	WB	Simonton, M.	05/09/2016 - 08/06/2016
ANTH4034	(3-6)	DOM FLD RES ARCH	700369	FE	TBA	IN	Sullivan, A.	05/09/2016 - 08/06/2016
ANTH4035	(3-6)	INTER FLD RES ARCH	700370	I	FE	TBA	IN	Allen, S.	05/09/2016 - 08/06/2016
ANTH5020	(3-6)	PUBLIC ARCHAEOLOGY	700371	PR	TBA	IN	Sullivan, A.	05/09/2016 - 08/06/2016
ANW8000	(3G)	ADV REPRODUCTIVEDYN	702767	OT	TBA	WB	Staff	05/09/2016 - 08/06/2016
ANW8004	(3G)	PC ILLNESS WOMEN	702769	OT	TBA	WB	Hachey, L.	05/09/2016 - 08/06/2016
ANW8006	(2G)	PC E ILL/ WMN PRAC	702770	OT	TBA	WB	Hachey, L.	05/09/2016 - 08/06/2016
ANW8010	(1G)	CONC FRAME WOM HLTH	702771	OT	TBA	WB	Staff	05/09/2016 - 08/06/2016
ANW8020	(3G)	ADV WOMENS HEALTH I	702772	OT	TBA	WB	Arbour, M.	05/09/2016 - 08/06/2016
ANW8022	(3G)	AWH II	702773	OT	TBA	WB	Staff	05/09/2016 - 08/06/2016
ANW8030	(3G)	AWH I PRACTICUM	702774	OT	TBA	WB	Staff	05/09/2016 - 08/06/2016
ANW8032	(3G)	AWH II PRACTICUM	702775	OT	TBA	WB	Staff	05/09/2016 - 08/06/2016
ANW8034	(4G)	AWH III PRACTICUM	702776	OT	TBA	WB	Staff	05/09/2016 - 08/06/2016
ANW8050	(3G)	FRAMWRK NMIDWIFERY	702777	OT	TBA	WB	Arbour, M.	05/09/2016 - 08/06/2016
ANW8052	(3G)	WOMEN'S HEALTH NM	702778	OT	TBA	WB	Arbour, M.	05/09/2016 - 08/06/2016
ANW8054	(3G)	ANTEPART CARE NMID	702779	OT	TBA	WB	Staff	05/09/2016 - 08/06/2016
ANW8056	(3G)	INTRA/PSTPART/NB NM	702780	OT	TBA	WB	Staff	05/09/2016 - 08/06/2016
ANW8058	(3G)	INTEG/PRO ISSUES NM	702781	OT	TBA	WB	Staff	05/09/2016 - 08/06/2016
ANW8060	(3G)	NM PRACTICUM I	702782	OT	TBA	WB	Arbour, M.	05/09/2016 - 08/06/2016
ANW8062	(4G)	NMP - II	702783	OT	TBA	WB	Staff	05/09/2016 - 08/06/2016
ANW8064	(5G)	NM PRACTICUM - III	702784	OT	TBA	WB	Staff	05/09/2016 - 08/06/2016
ARCH2002	(6)	ARCH STUDIO 2	702383	WEST	ST	MWF    	1:30p - 5:30p	CI	Hamaker, W.	05/09/2016 - 08/06/2016
ARCH2002	(6)	ARCH STUDIO 2	702384	WEST	ST	MWF    	1:30p - 5:30p	CI	Andrews, B.	05/09/2016 - 08/06/2016
ARCH2002	(6)	ARCH STUDIO 2	702385	WEST	ST	MWF    	1:30p - 5:30p	CI	Cottengim, S.	05/09/2016 - 08/06/2016
ARCH2002	(6)	ARCH STUDIO 2	702386	WEST	ST	MWF    	1:30p - 5:30p	CI	Bhiwapurkar, P.	05/09/2016 - 08/06/2016
ARCH2002	(6)	ARCH STUDIO 2	702676	WEST	ST	MWF    	1:30p - 5:30p	CI	Swick, M.	05/09/2016 - 08/06/2016
ARCH2002	(6)	ARCH STUDIO 2	702690	WEST	ST	MWF    	1:30p - 5:30p	CI	Staff	05/09/2016 - 08/06/2016
ARCH6090	(1-3*)	INTD STUDY	702402	SE	TBA	CI	Greinacher, U.	05/09/2016 - 08/06/2016
ARCH7005	(6G)	ADV INTR STUDIO	702387	WEST	ST	MWF    	1:30p - 5:30p	CI	Sansalone, V.	05/09/2016 - 08/06/2016
ARCH7005	(6G)	ADV INTR STUDIO	702388	WEST	ST	MWF    	1:30p - 5:30p	CI	Boling, T.	05/09/2016 - 08/06/2016
ARCH7005	(6G)	ADV INTR STUDIO	702389	WEST	ST	MWF    	1:30p - 5:30p	CI	Slaughter, S.	05/09/2016 - 08/06/2016
ARCH7005	(6G)	ADV INTR STUDIO	702390	WEST	ST	MWF    	1:30p - 5:30p	CI	Staff	05/09/2016 - 08/06/2016
ARCH7035	(3G)	ARCH THEORY 2	703254	WEST	LE	T      	3:00p - 5:50p	CI	Elleh, N.	05/09/2016 - 08/06/2016
ARCH7036	(3G)	ELEC. ARCH THEORY	703325	WEST	SE	T      	6:00p - 8:50p	CI	Greinacher, U.	May 11 - Aug 06	05/09/2016 - 08/06/2016
ARCH7081	(3G)	ENVIR TECH 1	702692	WEST	LB	F      	10:45a - 12:15p	CI	Bhiwapurkar, P.	WEST	LE	MW     	10:45a - 12:15p	CI	05/09/2016 - 08/06/2016
ARCH7090	(1-3G)	M ARCH IND STUDY	702403	SE	TBA	CI	Greinacher, U.	05/09/2016 - 08/06/2016
ARCH7094	(1-3G)	GRAD IND STUDY	702428	SE	TBA	CI	Elleh, N.	05/09/2016 - 08/06/2016
ARCH7095	(1-3G)	GRAD IND STUDY	702437	SE	TBA	CI	Elleh, N.	05/09/2016 - 08/06/2016
ARCH7096	(1-3G)	GRAD IND  STUDY	702438	SE	TBA	CI	Elleh, N.	05/09/2016 - 08/06/2016
ARCH8018	(3G)	TEACH PRACT STUDIO	702391	SE	TBA	CI	Elleh, N.	05/09/2016 - 08/06/2016
ARCH8095	(3G)	ARCH 8095	702392	SE	TBA	CI	Elleh, N.	05/09/2016 - 08/06/2016
ARCH9011	(3G)	QUALPAPER	702393	SE	TBA	CI	Elleh, N.	05/09/2016 - 08/06/2016
ARCH9012	(6G)	DISSPROP	702394	SE	TBA	CI	Elleh, N.	05/09/2016 - 08/06/2016
ARCH9013	(6G)	COMPEXMIN	702395	SE	TBA	CI	Elleh, N.	05/09/2016 - 08/06/2016
